axis,alpha_unit,n,mean_plutchik_max,mean_plutchik_entropy,mean_other_score,frac_other_dominant,top_other_label,top_other_count,top_plutchik,n_unique_other_labels,mean_s_anger,mean_s_anticipation,mean_s_disgust,mean_s_fear,mean_s_joy,mean_s_sadness,mean_s_surprise,mean_s_trust
37,0.0,8,0.475,0.8749070815495509,0.425,0.625,confusion,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0125,0.2875
37,2.0,8,0.4875,0.9819691278403284,0.3,0.25,self-doubt,1,anticipation,5,0.0,0.4875,0.0,0.0625,0.3875,0.0,0.0625,0.3875
38,-2.0,8,0.35,0.5215135509687978,0.4125,0.375,frustration,1,anger,6,0.1,0.275,0.0,0.0625,0.1,0.0875,0.0,0.125
38,0.0,8,0.475,0.8239880975153008,0.425,0.5,indecision,1,anticipation,6,0.0,0.4375,0.0,0.0875,0.15,0.075,0.0,0.2875
38,2.0,8,0.525,0.7769226107675242,0.375,0.375,paranoid hypervigilance,1,anticipation,5,0.0,0.38749999999999996,0.0,0.1625,0.225,0.0,0.0125,0.275
39,-2.0,8,0.35,0.5986344529631651,0.2,0.0,frustration,1,anger,3,0.025,0.24999999999999997,0.0,0.0875,0.1,0.0,0.0,0.275
39,0.0,8,0.475,0.8487826271902474,0.4125,0.625,confusion,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0,0.325
39,2.0,8,0.4,0.805248032981845,0.4625,0.5,uncertainty,2,anticipation,5,0.0,0.3625,0.0,0.1,0.1375,0.11249999999999999,0.0,0.3
40,-2.0,8,0.4375,0.7642728043437299,0.3875,0.5,eagerness,1,anticipation,5,0.0,0.41250000000000003,0.0,0.0875,0.2,0.0125,0.0,0.325
40,0.0,8,0.475,0.8326080068407429,0.4,0.375,indecision,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
40,2.0,8,0.4375,0.7149651814006259,0.3125,0.375,inner conflict,1,anticipation,5,0.0,0.3375,0.0,0.0875,0.225,0.075,0.0625,0.225
41,-2.0,8,0.4,0.86742393556267,0.4,0.375,confusion,1,anticipation,6,0.0,0.325,0.0,0.125,0.1875,0.0625,0.025,0.2625
41,0.0,8,0.475,0.8487826271902474,0.39999999999999997,0.5,indecision,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0,0.325
