cat_a,cat_b,alpha,beta,cluster_id,cluster_name,cos_resid,cos_marg,cos_full,null_p95,norm_resid,norm_marg,norm_full
b8,b4,-2.0,-2.0,3,romantic idealism,-0.0019215168431401253,0.0998094379901886,0.013703804463148117,0.05297365039587021,0.47745200991630554,0.5534526705741882,0.34257975220680237
b8,b4,-2.0,-2.0,4,academic ambition / competitive determination,0.09770199656486511,0.15540748834609985,0.0025764433667063713,0.04842482879757881,0.47745200991630554,0.5534526705741882,0.34257975220680237
b8,b4,-2.0,-2.0,5,ironic amusement,0.04626191779971123,0.1745489537715912,0.01710622012615204,0.04776734113693237,0.47745200991630554,0.5534526705741882,0.34257975220680237
b8,b4,-2.0,-2.0,6,enthusiasm / curiosity,0.0790756419301033,0.23560108244419098,0.042465727776288986,0.041279226541519165,0.47745200991630554,0.5534526705741882,0.34257975220680237
b8,b4,-2.0,2.0,0,self-doubt / encouragement,0.021202631294727325,0.2085043340921402,-0.00805454608052969,0.04447821527719498,0.45863965153694153,0.6364327669143677,0.38398081064224243
b8,b4,-2.0,2.0,1,frustration / despair,-0.044180892407894135,0.18235892057418823,-0.056022729724645615,0.04994594305753708,0.45863965153694153,0.6364327669143677,0.38398081064224243
b8,b4,-2.0,2.0,2,uncertainty / indecision,0.07550962269306183,0.2484092116355896,0.0030077043920755386,0.040912676602602005,0.45863965153694153,0.6364327669143677,0.38398081064224243
b8,b4,-2.0,2.0,3,romantic idealism,-0.04747692495584488,0.15375681221485138,0.06889241188764572,0.05297365039587021,0.45863965153694153,0.6364327669143677,0.38398081064224243
b8,b4,-2.0,2.0,4,academic ambition / competitive determination,0.06943335384130478,0.10353608429431915,-0.08864337205886841,0.04842482879757881,0.45863965153694153,0.6364327669143677,0.38398081064224243
b8,b4,-2.0,2.0,5,ironic amusement,-0.0956280380487442,0.2483043372631073,0.0034846141934394836,0.04776734113693237,0.45863965153694153,0.6364327669143677,0.38398081064224243
b8,b4,-2.0,2.0,6,enthusiasm / curiosity,-0.0223175510764122,0.26802879571914673,0.017567500472068787,0.041279226541519165,0.45863965153694153,0.6364327669143677,0.38398081064224243
b8,b4,2.0,-2.0,0,self-doubt / encouragement,0.03399866819381714,0.20695921778678894,-0.025707868859171867,0.04447821527719498,0.5079621076583862,0.5695117115974426,0.4037841260433197
b8,b4,2.0,-2.0,1,frustration / despair,-0.02253131754696369,0.24924752116203308,0.03268224000930786,0.04994594305753708,0.5079621076583862,0.5695117115974426,0.4037841260433197
b8,b4,2.0,-2.0,2,uncertainty / indecision,0.01036655530333519,0.2789546251296997,-0.06795427203178406,0.040912676602602005,0.5079621076583862,0.5695117115974426,0.4037841260433197
b8,b4,2.0,-2.0,3,romantic idealism,0.01847398281097412,0.07354151457548141,0.0040593985468149185,0.05297365039587021,0.5079621076583862,0.5695117115974426,0.4037841260433197
b8,b4,2.0,-2.0,4,academic ambition / competitive determination,0.041519783437252045,0.1491709053516388,-0.06372460722923279,0.04842482879757881,0.5079621076583862,0.5695117115974426,0.4037841260433197
b8,b4,2.0,-2.0,5,ironic amusement,0.07291345298290253,0.14141491055488586,0.011745233088731766,0.04776734113693237,0.5079621076583862,0.5695117115974426,0.4037841260433197
b8,b4,2.0,-2.0,6,enthusiasm / curiosity,0.009520618245005608,0.2441548854112625,-0.02406190149486065,0.041279226541519165,0.5079621076583862,0.5695117115974426,0.4037841260433197
b8,b4,2.0,2.0,0,self-doubt / encouragement,0.039139702916145325,0.20933008193969727,0.007301747798919678,0.04447821527719498,0.45336228609085083,0.625120222568512,0.42247274518013
b8,b4,2.0,2.0,1,frustration / despair,-0.029388219118118286,0.2467324435710907,0.05587620288133621,0.04994594305753708,0.45336228609085083,0.625120222568512,0.42247274518013
b8,b4,2.0,2.0,2,uncertainty / indecision,0.04597157984972,0.27201712131500244,-0.0016271397471427917,0.040912676602602005,0.45336228609085083,0.625120222568512,0.42247274518013
b8,b4,2.0,2.0,3,romantic idealism,0.029522396624088287,0.13517215847969055,0.1142214834690094,0.05297365039587021,0.45336228609085083,0.625120222568512,0.42247274518013
b8,b4,2.0,2.0,4,academic ambition / competitive determination,0.06308017671108246,0.10372033715248108,-0.09075184166431427,0.04842482879757881,0.45336228609085083,0.625120222568512,0.42247274518013
b8,b4,2.0,2.0,5,ironic amusement,0.051368407905101776,0.2270953208208084,0.124074786901474,0.04776734113693237,0.45336228609085083,0.625120222568512,0.42247274518013
b8,b4,2.0,2.0,6,enthusiasm / curiosity,0.023322412744164467,0.2867245078086853,0.08570919930934906,0.041279226541519165,0.45336228609085083,0.625120222568512,0.42247274518013
b8,b7,-2.0,-2.0,0,self-doubt / encouragement,0.008977564051747322,0.2000507265329361,-0.06873152405023575,0.04447821527719498,0.4175952076911926,0.5788734555244446,0.3763647675514221
b8,b7,-2.0,-2.0,1,frustration / despair,-0.009580854326486588,0.17634393274784088,-0.050876736640930176,0.04994594305753708,0.4175952076911926,0.5788734555244446,0.3763647675514221
b8,b7,-2.0,-2.0,2,uncertainty / indecision,0.04859727993607521,0.23309721052646637,-0.09660661220550537,0.040912676602602005,0.4175952076911926,0.5788734555244446,0.3763647675514221
b8,b7,-2.0,-2.0,3,romantic idealism,-0.07545552402734756,0.15763849020004272,0.02691880613565445,0.05297365039587021,0.4175952076911926,0.5788734555244446,0.3763647675514221
b8,b7,-2.0,-2.0,4,academic ambition / competitive determination,0.020555615425109863,0.14445626735687256,-0.10551795363426208,0.04842482879757881,0.4175952076911926,0.5788734555244446,0.3763647675514221
b8,b7,-2.0,-2.0,5,ironic amusement,0.007384002208709717,0.20896728336811066,0.02959536574780941,0.04776734113693237,0.4175952076911926,0.5788734555244446,0.3763647675514221
b8,b7,-2.0,-2.0,6,enthusiasm / curiosity,0.033250030130147934,0.22626705467700958,-0.023214805871248245,0.041279226541519165,0.4175952076911926,0.5788734555244446,0.3763647675514221
b8,b7,-2.0,2.0,0,self-doubt / encouragement,0.12767153978347778,0.1328107863664627,-0.009821165353059769,0.04447821527719498,0.49387964606285095,0.5937733054161072,0.35711395740509033
b8,b7,-2.0,2.0,1,frustration / despair,0.06649923324584961,0.13921940326690674,-0.004818450193852186,0.04994594305753708,0.49387964606285095,0.5937733054161072,0.35711395740509033
b8,b7,-2.0,2.0,2,uncertainty / indecision,0.07985380291938782,0.2068200707435608,-0.08217170834541321,0.040912676602602005,0.49387964606285095,0.5937733054161072,0.35711395740509033
b8,b7,-2.0,2.0,3,romantic idealism,0.0002206079661846161,0.0685119703412056,-0.02470375783741474,0.05297365039587021,0.49387964606285095,0.5937733054161072,0.35711395740509033
b8,b7,-2.0,2.0,4,academic ambition / competitive determination,0.14378248155117035,0.06710338592529297,-0.05898305028676987,0.04842482879757881,0.49387964606285095,0.5937733054161072,0.35711395740509033
