decomposer,k,seed,layer,silhouette_cosine_H,component,mi,linear_sep_acc,category_top1_dominance,vad_explained
ica,128,0,22,0.00451522134244442,126,0.15766562413354013,0.1365625,0.5,0.00238922075368464
ica,128,0,22,0.00451522134244442,127,0.1479386342764255,0.13999999999999999,0.375,0.0012537604197859764
pca,128,0,22,-0.025508098304271698,0,0.21537874797607115,0.178125,0.25,0.00041189827607013285
pca,128,0,22,-0.025508098304271698,1,0.1824750646176576,0.1609375,0.25,0.0015523568727076054
pca,128,0,22,-0.025508098304271698,2,0.22232707925815642,0.150625,1.0,0.014159313403069973
pca,128,0,22,-0.025508098304271698,3,0.129492690828934,0.15125000000000002,0.5,0.007524304557591677
pca,128,0,22,-0.025508098304271698,4,0.15757650255199707,0.13499999999999998,0.5,0.0028274760115891695
pca,128,0,22,-0.025508098304271698,5,0.1875134427700038,0.17062500000000003,0.5,0.007295000366866589
pca,128,0,22,-0.025508098304271698,6,0.13556007287155714,0.13624999999999998,0.375,0.001968459691852331
pca,128,0,22,-0.025508098304271698,7,0.1698136692318255,0.15906250000000002,0.875,0.006367519963532686
pca,128,0,22,-0.025508098304271698,8,0.22018956111160115,0.1771875,0.5,0.021040981635451317
pca,128,0,22,-0.025508098304271698,9,0.1973213995927714,0.1521875,0.75,0.0017101360717788339
pca,128,0,22,-0.025508098304271698,10,0.16259679427745422,0.15,0.25,0.0007077384507283568
